Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Task,SCRUM-113,10362,Verify that delete an existing filter group will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:48 AM,16/Nov/25 4:12 AM,
Task,SCRUM-112,10361,Verify that adding new filter group will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:46 AM,16/Nov/25 4:12 AM,
Task,SCRUM-111,10360,Verify that delete an existing filter will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:44 AM,16/Nov/25 4:12 AM,
Task,SCRUM-110,10359,Verify that delete an existing attribute will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:44 AM,16/Nov/25 4:12 AM,
Task,SCRUM-109,10358,Verify that adding new attribute will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:43 AM,16/Nov/25 4:13 AM,
Task,SCRUM-108,10357,Verify that returning order will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:41 AM,16/Nov/25 4:13 AM,
Task,SCRUM-107,10356,Verify that adding new filter will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:40 AM,16/Nov/25 4:13 AM,
Task,SCRUM-106,10355,Verify that order history contain all order's with different statues,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:38 AM,16/Nov/25 4:13 AM,
Task,SCRUM-105,10354,Verify that adding new address will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:34 AM,16/Nov/25 4:13 AM,
Task,SCRUM-104,10353,Verify that updating customer's data will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:32 AM,16/Nov/25 4:13 AM,
Task,SCRUM-103,10352,Verify updating price will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:28 AM,16/Nov/25 4:14 AM,
Task,SCRUM-102,10351,Verify deleting any option will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:26 AM,16/Nov/25 4:14 AM,
Task,SCRUM-101,10350,Verify that adding new option will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:26 AM,16/Nov/25 4:14 AM,
Task,SCRUM-100,10349,Verify that deleting order will reflect to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,16/Nov/25 3:13 AM,16/Nov/25 4:14 AM,
Task,SCRUM-50,10273,Verify that customer's password is encrypted,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:54 PM,15/Nov/25 10:38 PM,
Task,SCRUM-47,10270,verify that making new order will be reflected to the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:35 PM,15/Nov/25 10:35 PM,
Task,SCRUM-46,10269,Verify that changing product's quantity will reflect in the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:35 PM,15/Nov/25 10:35 PM,
Task,SCRUM-45,10268,Verify that adding new product will reflect in the product's database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:34 PM,15/Nov/25 10:35 PM,
Task,SCRUM-44,10267,Verify that adding new customer will reflect in the customers database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:34 PM,15/Nov/25 10:35 PM,
Task,SCRUM-43,10266,Verify that adding new item to the cart will reflects in the database,,,Nada,712020:84cb3624-9880-4c7e-9b0d-69574448d9e0,Medium,Database,,15/Nov/25 9:32 PM,15/Nov/25 10:35 PM,
